"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Los términos que ingresó (%1) pertenecen a un grupo de sinónimos existente, %2. Seleccione la casilla de verificación "Fusionar sinónimos existentes" para que se puedan fusionar los términos."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Los términos que ingresó (%1) pertenecen a %2 grupos de sinónimos existentes, %3 y %4. Seleccione la casilla de verificación "Fusionar sinónimos existentes" para que se puedan fusionar los términos."
"You deleted the search.","Has eliminado la busqueda."
"We can't find a search term to delete.","No podemos encontrar un término de búsqueda para eliminar."
"This search no longer exists.","Esta búsqueda ya no existe."
"Edit Search","Editar la busqueda"
"Please select searches.","Porfavor seleccione busquedas."
"Total of %1 record(s) were deleted.","Se eliminaron un total de %1 registros."
Reports,Reportes
"Search Terms Report","Informe de términos de búsqueda"
"You saved the search term.","Has guardado los terminos de busqueda."
"Something went wrong while saving the search query.","Algo salió mal al guardar la consulta de búsqueda."
"You already have an identical search term query.","Ya tienes una consulta de término de búsqueda idéntica."
"Your search query can't be longer than %1, so we shortened your query.","Su consulta de búsqueda no puede ser más larga que %1, por lo que acortamos su consulta."
"Synonym group with id %1 cannot be deleted. %2","No se puede eliminar el grupo de sinónimos con id %1. %2"
"Merge conflict with existing synonym group(s): %1","Fusionar conflicto con grupo(s) de sinónimos existentes: %1"
"All Websites","Todos los Websites"
"    All Store Views","    Todas las vistas de tienda"
"All Store Views","Todas las vistas de tienda"
Delete,Eliminar
"Are you sure you want to delete synonym group with id: %1?","¿Está seguro de que desea eliminar el grupo de sinónimos con id: %1?"
View/Edit,Ver/Editar
"Search entire store here...","Busca la tienda entera aquí..."
"There are no search terms available.","No hay términos de búsqueda disponibles."
"Search Engine","Motor de busqueda"
CSV,CSV
"Excel XML","Excel XML"
ID,ID
Hits,Hits
"Are you sure?","Estas seguro?"
"Suggested Terms","Términos sugeridos"
yes,si
no,no
Action,Acción
Edit,Editar
"You can adjust the scope of this synonym group by selecting an option from the list.","Puede ajustar el alcance de este grupo de sinónimos seleccionando una opción de la lista."
Scope,Alcance
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Lista de sinónimos separados por comas. Los términos ingresados ​​(separados por comas) se utilizarán como una consulta de búsqueda "OR" para buscar en toda la tienda. Por ejemplo, si ingresa "zapatos,calzado" y el usuario busca "zapatos", los resultados de la búsqueda incluirán cualquier producto o contenido con el término "zapatos" o "calzado"."
Synonyms,Sinonimos
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Combina automáticamente sinónimos en grupos que comparten el mismo ámbito. Si marca esta casilla y agrega uno o más términos iguales a diferentes grupos de sinónimos en el mismo ámbito, se combinarán automáticamente todos los términos en un solo grupo. Si esto no es lo que desea, desmarque la casilla y aparecerá un error si intenta agregar los mismos términos."
"Store View","Vista de tienda"
Website,Website
"Are you sure you want to delete the selected synonym groups?","¿Está seguro de que desea eliminar los grupos de sinónimos seleccionados?"
"Delete items","Eliminar elementos"
"Newsletter","Newsletter",module,Magento_Newsletter
"Search entire store here...","¿Qué estás buscando?",module,Magento_Search
"My Account","Mi cuenta",module,SummaTheme_Checkout
"Hello, %1!","¡Hola, %1!"
"Welcome, %1!","¡Hola, %1!"
"Discounts will be applied on cart page.","Los descuentos se aplicarán en el carrito"
"View and Edit Cart","Ir al carrito"
"Proceed to Checkout","Comprar"
"Remove All Items","Borrar todos"
"Are you sure you would like to remove all items from the shopping cart?","¿Estás seguro que querés quitar todos los artículos del carrito de compras?",module,Magento_Checkout
"Add to Compare","Comparar",module,Magento_Catalog
"Add To Compare","Comparar",module,Magento_Catalog
"Add to Compare","Comparar",module,Magento_CatalogWidget
"Add to Compare","Comparar",module,Magento_Reports
"Add to Cart","Comprar",module,Magento_Catalog
"As Low as","Desde",module,Magento_Bundle
"As low as","Desde",module,Magento_Bundle
"As low as","Desde",module,Magento_Catalog
"As low as","Desde",module,Magento_ConfigurableProduct
"As low as: ","Desde: ",module,Magento_ConfigurableProduct
"How do we deliver your order?","¿Cómo entregamos tu compra?"
"Home delivery","Envío a domicilio"
"Pick in Store","Retiro en tienda"
"Enter your email","Ingresá tu correo"
"We'll send your order confirmation here.","Para continuar con tu compra y recibir el resumen de compra.",module,Magento_Checkout
"You can create an account after checkout.","Podés crear una cuenta una vez finalizada la compra.",module,Magento_Checkout
"Please, confirm your email. You can create an account after checkout.","Por favor, confirma tu email. Podés crear una cuenta una vez finalizada la compra.",module,Magento_Checkout
"Street","Calle",module,Magento_Checkout
"Street number","Número",module,Magento_Checkout
"Floor / Apartment","Piso/Depto.",module,Magento_Checkout
"Observations","Entre Calles (Opcional)",module,Magento_Checkout
"Optional","Opcional"
"name@email.com","Ej. nombre@mail.com"
"Personal Information","Información personal"
"Cant.","Cantidad"
"Order Summary","Resumen de compra",module,Magento_Checkout
"Shipping Methods","Seleccioná el tipo de envío",module,Magento_Checkout
"View all level 0","Ver todo"
"View all level 1","Ver todo"
"View all level 2","Ver todo"
"View all level 3","Ver todo"
"Free!","¡Gratis!"
"Vat Id:","Documento:"
"Phone:","Tel:"
"New Address","Agregar una nueva dirección",module,Magento_Checkout
"What address do we send?","¿A qué dirección la enviamos?"
"Select Your Store","Elegí un punto de retiro"
"We could not preselect pickup location based on available information, please select it manually.","No pudimos preseleccionar un punto de retiro basado en la información disponible, por favor seleccioná uno."
"Search with postcode or city name...","Buscá por tu código postal o ciudad..."
"Please provide postcode or city name to find nearest pickup locations.","Cargá tu ciudad o código postal para encontrar el punto de retiro más cercano."
"Ship Here","Continuar",module,Magento_InventoryInStorePickupFrontend
"We were unable to find nearby locations for provided search query.","No pudimos encontrar un punto de retiro cercano a los datos ingresados.",module,Magento_InventoryInStorePickupFrontend
"Select Other","Elegir otro",module,Magento_InventoryInStorePickupFrontend
"Your Select Store Is","Tu punto de retiro es",module,Magento_InventoryInStorePickupFrontend
"Edit Address","Editar"
"Edit","Editar"
"Back to cart","Volver al carrito"
"per page","Productos por página",module,Magento_Catalog
"per page","Pedidos por página",module,Magento_Sales
"per page","Por página",module,Magento_Customer
"per page","Por página"
"Items %1-%2 of %3","%1-%2 de %3 Productos",module,Magento_Catalog
"Items %1-%2 of %3","%1-%2 de %3 Pedidos",module,Magento_Sales
"Items %1-%2 of %3","%1-%2 de %3 Direcciones",module,Magento_Customer
"Items %1-%2 of %3","%1-%2 de %3 Items",module,Magento_Customer
"%1 Item","%1 producto encontrados",module,Magento_Catalog
"%1 Items","%1 productos encontrados",module,Magento_Catalog
"%1 Item","%1 pedido",module,Magento_Sales
"%1 Items","%1 pedidos",module,Magento_Sales
"%1 Item","%1 dirección",module,Magento_Customer
"%1 Items","%1 direcciones",module,Magento_Customer
"%1 Item","%1 item"
"%1 Items","%1 items"
"Search (%s)","Buscar (%s)"
"No value matching the search <b>%s</b>.","No se encontraron resultados para <b>%s</b>."
"Compare Products","Comparador",module,Magento_Catalog
"My Wish List","Favoritos",module,Magento_Wishlist
"Clear All","Borrar todo",module,Magento_LayeredNavigation
"Recently Ordered","Comprar nuevamente",module,Magento_Sales
"Related Products","Productos similares",module,Magento_Catalog
"We found other products you might like!","No olvides llevar",module,Magento_Catalog
"Check items to add to the cart or","Selecciona otros productos a agregar o",module,Magento_Catalog
"select all","Seleccionar todos",module,Magento_Catalog
"Add with this product","Agregar con el producto",module,Magento_Catalog
"Login","Iniciar sesión",module,Magento_Checkout
"Login","Iniciar sesión",module,Magento_Customer
"Login","Iniciar sesión",module,Magento_Login
"Login","Iniciar sesión",module,Magento_Paypal
"Continue as guest","Continuar",module,Magento_Checkout
"Continue as guest anyway","Continuar como invitado",module,Magento_Checkout
"Confirm address","Continuar",module,Magento_Checkout
"Place Order","Pagar",module,Magento_Checkout
"Require Invoice","Requiero factura A"
"Invoice Required","Factura A Requerida"
"Invoice Business Name","Razón social"
"Invoice Vat Id","CUIL"
"Invoice Business Name: %1","Razón social: %1"
"Invoice Vat Id: %1","CUIL: %1"
"An error was generated saving the invoice information. Plese check the information or contact us.","Se ha generado un error guardando la información de su factura A. Por favor verificá tu información o contactate con nosotros."
"Shopping Cart","Mi carrito",module,Magento_Checkout
"Estimate Shipping and Tax","Estimación de envío",module,Magento_Checkout
"Gift Cards","¿Tienes una tarjeta de regalo?",module,Magento_GiftCardAccount
"Apply Discount Code","¿Tienes un cupón de descuento?",module,Magento_Checkout
"Enter discount code","Código"
"Add Gift Card","Aplicar",module,Magento_GiftCardAccount
"Enter your destination to get a shipping estimate.","Ingresá tus datos para estimar."
"Enter your billing address to get a tax estimate.","Ingresá tus datos para estimar."
"Enter gift card code","Código",module,Magento_GiftCardAccount
"Enter the gift card code","Código",module,Magento_GiftCardAccount
"Check Gift Card status and balance","Ver Saldo",module,Magento_GiftCardAccount
"Update Shopping Cart","Actualizar mi carrito",module,Magento_Checkout
"Your order # is: <span>%1</span>.","Nº de pedido: <span>%1</span>.",module,Magento_Checkout
"Your order number is: %1.","Nº de pedido: %1.",module,Magento_Checkout
"We'll email you an order and pick-up confirmation with details.","En los próximos minutos recibirás un mensaje email con los detalles de tu pedido y la información para retirarlo.",module,Magento_Checkout
"We'll email you an order confirmation with details and tracking info.","En los próximos minutos recibirás un mensaje email con los detalles de tu pedido y un enlace para hacer el seguimiento de su progreso.",module,Magento_Checkout
"Create an account","Crear una cuenta",module,Magento_Checkout
"Create an account with your email address:","Generá una cuenta con tu dirección de mail:",module,Magento_Checkout
"Make your purchases more easy.","Realiza tus compras de manera más ágil.",module,Magento_Checkout
"Save multiple shipping and billing addresses.","Guarda múltiples direcciones de envío y facturación.",module,Magento_Checkout
"You can track your order status by creating an account.","Realiza el seguimiento a tus compras y revisa tus pedidos realizados.",module,Magento_Checkout
"Make a wishlist of favorite products.","Haz una lista de productos favoritos.",module,Magento_Checkout
"Success Page","¡Gracias por su compra!",module,Magento_Checkout
"Order #: %1","Nº de pedido: %1",module,Magento_Checkout
"Go to homepage","Ir a la home",module,Magento_Checkout
"Click <a href=""%1"">here</a> to continue shopping.","Continua comprando <a href=""%1"">ingresando aquí</a>.",module,Magento_Checkout
"VAT Number","Documento",module,Magento_Backend
"Validate VAT Number","Validar Documento",module,Magento_Customer
"Error during VAT Number verification.","Error durante la verificación del Documento.",module,Magento_Customer
"VAT Number is valid.","Documento válido.",module,Magento_Customer
"VAT Number","Documento",module,Magento_Customer
"Tax VAT Number","Documento",module,Magento_Customer
"VAT Number","Documento",module,Magento_Email
"VAT Number","Documento",module,Magento_CustomerCustomAttributes
"MercadoPago Payment Information","Información del pago"
"Your order cannot be completed","Tu compra no se pudo realizar"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crea una y aprovecha los beneficios:",module,Magento_Customer
"Insert your password","Ingrese su contraseña",module,Magento_Customer
"New Customers","Crear cuenta",module,Magento_Customer
"Registered Customers","Ya tengo una cuenta",module,Magento_Customer
"If you have an account, sign in with your email address.","Para iniciar sesión ingrese su email y contraseña.",module,Magento_Customer
"Forgot Your Password?","Olvidé mi contraseña",module,Magento_Customer
"Sign In","Iniciar Sesión",module,Magento_Customer
"Create an Account","Crear cuenta",module,Magento_Customer
"Allow remote shopping assistance","Permitir compra con asistencia remota"
"This allows merchants to ""see what you see" and take actions on your behalf in order to provide better assistance.","Esta opción permite que los asesores puedan asistirlo en sus compras."
"Create New Customer Account","¿Aún no tenés cuenta? Registrate",module,Magento_Customer
"Back to login","Ya tengo cuenta",module,Magento_Customer
"Firstname example","Ej. Camila"
"Middlename example","Ej. Soledad"
"Lastname example","Ej. Torres"
"Tax/VAT Number","Documento"
"Please type the letters and numbers below","Por favor, escriba los siguientes números y letras",module,Magento_Captcha
"Sorry, there is no delivery methods available for your address. Please check your address or continue using pickup in store.","No pudimos encontrar formas de envío para su dirección. Por favor modificá la misma o continuá tu compra utilizando retiro en tienda."
"Save %1","Ahorrá %1"
"My Account dashboard","Resumen"
"Account Dashboard","Resumen"
"View Order","Ver pedido",module,Magento_Sales
"Order #","Nº de pedido",module,Magento_Sales
"Zip/Postal Code","Código Postal",module,Magento_Customer
"State","Provincia",module,Magento_Customer
"State","Provincia",module,Magento_Tax
"State","Provincia",module,Magento_TaxImportExport
"Street Address","Calle",module,Magento_Customer
"Street Address: Line 1","Calle"
"Street Address: Line 2","Número"
"Street Address: Line 3","Piso/Dpto."
"Street Address: Line 4","Entre Calles (Opcional)"
"Gift Card","Giftcard",module,Magento_CustomerSegment
"Gift Card","Giftcard",module,Magento_GiftCardAccount
"Gift Card (%1)","Giftcard (%1)",module,Magento_GiftCardAccount
"Gift Card: ","Giftcard: ",module,Magento_GiftCardAccount
"Gift Card:","Giftcard:",module,Magento_GiftCardAccount
"Gift Card:","Giftcard:",module,Magento_NegotiableQuote
"Ordered","Comprado",module,Magento_Sales
"Ordered","Comprado",module,Magento_Bundle
"Ordered","Comprado",module,Magento_Downloadable
"Ordered","Comprado",module,Magento_GiftCard
"Ordered","Comprado",module,Magento_NegotiableQuote
"Ordered","Comprado",module,Magento_Reports
"Ordered","Comprado",module,Magento_Rma
"Ordered","Comprado",module,Magento_Sales
"Ordered","Comprado",module,Magento_VersionsCms
"Order status:","Estado:"
"About Your Order","Novedades del pedido",module,Magento_Sales
"SKU","SKU",module,Magento_Sales
"Qty Invoiced","Facturados",module,Magento_Sales
"Qty Shipped","Enviados",module,Magento_Shipping
"Qty Shipped","Enviados",module,Magento_Sales
"Remove item","Eliminar",module,Magento_Wishlist
"Remove item","Eliminar",module,Magento_RequisitionList
"Remove Product","Eliminar",module,Magento_Multishipping
"Remove Product","Eliminar",module,Magento_Catalog
"Remove Product","Eliminar",module,Magento_ConfigurableProduct
"Remove item","Eliminar",module,Magento_Checkout
"Remove item","Eliminar",module,Magento_NegotiableQuote
"Redeem Gift Card","Canjear Giftcard",module,Magento_GiftCardAccount
"Check status and balance","Checkear mi Giftcard",module,Magento_GiftCardAccount
"Have a gift card? ","¿Tenés una Giftcard? ",module,Magento_GiftCardAccount
"Please enter a valid gift card code.","Ingresá de Giftcard válido.",module,Magento_GiftCardAccount
"Expires: ","Vence: ",module,Magento_GiftCardAccount
"%name,","%name,",module,Magento_GiftCardAccount
"%name,","%name,",module,Magento_GiftRegistry
"%name,","%name,",module,Magento_GiftCard
"%name,","%name,",module,Magento_Company
"%name,","%name,",module,Magento_Customer
"%name,","%name,",module,Magento_CustomerBalance
"%name,","%name,",module,Magento_ProductAlert
"%name,","%name,",module,Magento_Reminder
"%name,","%name,",module,Magento_Reward
"%name,","%name,",module,Magento_Rma
"%name,","%name,",module,Magento_Sales
"%name,","%name,",module,Magento_SendFriend
"%name,","%name,",module,Magento_Theme
"%name,","%name,",module,Magento_User
"Items","Producto",module,Magento_Sales
"Items","Producto",module,Magento_Checkout
"items","producto",module,Magento_Checkout
"items","productos",module,Magento_LayeredNavigation
"Items","Producto",module,Magento_Multishipping
"Items","Producto",module,Magento_Reports
"items","productos",module,Magento_RequisitionList
"Items","Producto",module,Magento_RequisitionList
"Items","Producto",module,Magento_Rma
"Invoice for your %store_name order","Factura para tu pedido en %store_name",module,Magento_Sales
"Your %store_name order is ready for pickup","Tu pedido en %store_name esta listo para ser retirado"
"Your order placed from %store_name is ready for pickup.","Tu pedido realizado en %store_name está listo para ser retirado."
"Please feel free to pickup your order now.","A partir de ahora podes pasar a retirar tu pedido."
"Your Order <span class=""no-link"">#%increment_id</span> is complete","Tu pedido <span class=""no-link"">#%increment_id</span> está listo"
"Order confirmed","Pedido ingresado"
"Payment accepted","Pago aceptado"
"Order invoiced","Pedido facturado"
"Order shipped","Pedido enviado"
"Order ready for Pickup","Pedido listo para retiro"
"Write Us","Completá todos los datos y nos podremos en contacto con vos.",module,Magento_Contact
"VAT/TAX ID","CUIT"
"Street Address example","Ej. Costa Rica"
"Street Address example 2","Ej. 999"
"Street Address example 3","Ej. 7G"
"Street Address example 4","Ej. Lavander y Gurion"
"Nombre example","Ej. Juan"
"Apellidos example","Ej. Perez"
"Documento example","Ej. 13988399"
"Número de teléfono example","Ej. 113829928"
"Region example","Ej. Capital Federal"
"City example","Ej. Capital Federal"
"District example","Ej. Palermo"
"Ciudad example","Ej. Capital Federal"
"Postcode example","Ej. 1425"
"Código Postal example","Ej. 1425"
"A to Z","A a Z"
"Z a A","Z a A"
"Who will pickup the order?","¿Quién retirará la orden?"
"Some else will pickup the order?","Alguien más retira mi orden"
"Store %1","Sucursal %1"
"Closest store","Más cercana"
"Select a city","Seleccioná una ciudad"
"Select a district","Seleccioná un distrito"
"Please, provide your location to find your closest store.","Por favor, brindanos tu ubicación para poder encontrar tu sucursal más cercana."
"You had denied your location, provide your location to find your closest store.","No pudimos acceder a tu ubicación, brindanos tu ubicación para poder encontrar tu sucursal más cercana."
"District","Distrito"
"Please select a City.","Por favor elija una ciudad."
"Please select a District.","Por favor elija un districto."
"You already have an account with us, please sign in to continue.","Ya tienes una cuenta, iniciá sesión para continuar.",module,Magento_Checkout
"Newsletter Subscriptions","Mi Newsletter",module,Magento_Newsletter
"My Product Reviews","Mis Reseñas",module,Magento_Review
"My Wish List","Mis favoritos",module,Magento_Wishlist
"Search by SKU or Product Name","Buscar por SKU o Nombre"
"Order Number","Orden #"
"Enter full or partial number...","Número completo o parcial..."
"Invoice Number","Número de factura"
"DD/MM/YYYY","DD/MM/AAAA"
"Company Credit","Crédito",module,Magento_CompanyCredit
"Show Inactive Users","Ver Inactivos"
"Show Active Users","Ver Activos"
"Show All Users","Ver Todos"
"ID","ID",module,Magento_Company
"All","Todos",module,Magento_Company
"Sales","Ventas",module,Magento_Company
"Allow Checkout","Permitir Comprar",module,Magento_Company
"Use Pay On Account method","Usar pago con crédito",module,Magento_Company
"View orders","Ver órdenes",module,Magento_Company
"View orders of subordinate users","Ver órdenes de usuarios asignados",module,Magento_Company
"Quotes","Presupuestos",module,Magento_Company
"Show My Quotes","Ver Mis Presupuestos"
"View","Ver",module,Magento_Company
"Request, Edit, Delete","Hacer, Editar, Borrar",module,Magento_Company
"Checkout with quote","Comprar con presupuesto",module,Magento_Company
"View quotes of subordinate users","Ver presupuestos de usuarios asignados",module,Magento_Company
"Order Approvals","Aprobar órdenes",module,Magento_Company
"View my Purchase Orders","Ver mis órdenes de compra",module,Magento_Company
"View for subordinates","Ver de usuarios asignados",module,Magento_Company
"View for all company","Ver de la empresa",module,Magento_Company
"Auto-approve POs created within this role","Autoaprobar OC creadas dentro de este Rol",module,Magento_Company
"Approve Purchase Orders without other approvals","Autoaprobar OC sin otras aprovaciones",module,Magento_Company
"View Approval Rules","Ver reglas de aprovación",module,Magento_Company
"Create, Edit and Delete","Crear, Editar y Borrar",module,Magento_Company
"Company Profile","Perfil de la empresa",module,Magento_Company
"Account Information (View)","Ver información de la cuenta",module,Magento_Company
"Edit","Editar",module,Magento_Company
"Legal Address (View)","Ver Dirección",module,Magento_Company
"Contacts (View)","Ver contacto",module,Magento_Company
"Payment Information (View)","Ver información de pago",module,Magento_Company
"Shipping Information (View)","Ver información de envío",module,Magento_Company
"Company User Management","Control de usuarios",module,Magento_Company
"View roles and permissions","Ver roles y permisos",module,Magento_Company
"Manage roles and permissions","Manejar roles y permisos",module,Magento_Company
"View users and teams","Ver usuarios y equipos",module,Magento_Company
"Manage users and teams","Manejar usuarios y equipos",module,Magento_Company
"Company Credit","Crédito de la empresa",module,Magento_CompanyCredit
"Show All Quotes","Ver todos"
"Quote Totals","Total",module,Magento_NegotiableQuote
"Quote Total (Base)","Total (Base)",module,Magento_NegotiableQuote
"Quote Total (Negotiated)","Total (negociado)",module,Magento_NegotiableQuote
"Quote name","Nombre",module,Magento_NegotiableQuote
"Quote Name","Nombre",module,Magento_NegotiableQuote
"Your search did not return any results.","No se encontraron resultados."
"Quote:","Presupuesto:"
"Quote %1","Presupuesto %1"
"Quote status:","Estado:"
"Items Quoted","Productos Presupuestados",module,Magento_NegotiableQuote
"Select Existing Address","Seleccionar una Dirección",module,Magento_NegotiableQuote
"Change Address","Cambiar Dirección",module,Magento_NegotiableQuote
"Please select a user or team first.","Por favor, primero elija un usuario o equipo."
"Please select user or team","Elija un usuario o equipo."
"Available Payment Methods","Métodos de pago disponibles",module,Magento_CompanyPayment
"Available Shipping Methods","Métodos de envío disponibles",module,Magento_CompanyShipment
"Quick Order","Compra rápida",module,Magento_QuickOrder
"This company has no payment methods. Please contact store administrator.","Esta empresa no tiene métodos de pago. Póngase en contactate con tu administrador.",module,Magento_CompanyPayment
"This company has no shipping methods. Please contact store administrator.","Esta empresa no tiene métodos de envío. Por favor contactate con tu administrador.",module,Magento_CompanyShipment
"Are you sure you would like to remove selected items from the requisition list?","¿Está seguro que quiere eliminar este producto de la lista de requisitos?",module,Magento_RequisitionList
"Delete Requisition List?","Borrar lista de requisitos",module,Magento_RequisitionList
"We can't update your requisition list right now.","No podemos actualizar tu lista de requisitos en este momento.",module,Magento_RequisitionList
"Are you sure you want to delete ""%1" list? This action cannot be undone.","¿Está seguro que quiere eliminar la lista de requisitos ""%1""?",module,Magento_RequisitionList
"Add Shopping Cart to Requisition List","Agregar carrito a lista de requisitos",module,Magento_RequisitionList
"Your account is locked","Tu cuenta está inactiva"
"You've been linked to a company","Has sido vinculado a una empresa"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Ha agregado a la <a href=%customer_url>%company_name</a> como el miembro de la empresa.
    una vez que entres a tu cuenta
    los recursos compartidos de la empresa estará disponibles para usted."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Si esto es un error,
    Póngase en contactate con el administrador de la empresa a %company_admin_email."
"New quote ","Nuevo presupuesto ",module,Magento_NegotiableQuote
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Su cuenta de empresa <strong>%company_name</strong> ha sido bloqueada.
    Los miembros de su empresa pueden seguir utilizando el sitio web
    pero no podrá realizar pedidos."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","La solicitud de registro de su empresa (para  <strong>%company_name</strong>) se ha rechazado
    por la siguiente razón:"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Su solicitud de registro de su empresa (para <strong>%company_name</strong>)
    ha sido aprobada y ha sido definido como Admin. de la empresa.
    Ahora puede crear y administrar la estructura de la empresa.
    Los miembros de su empresa son capaces de solicitar cotizaciones, crear listas de requerimiento,
    y usar otras funciones B2B."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","El estado de su empresa <strong>%company_name</strong>
    es ahora <strong>Activa</strong>.
    Una vez que inicie sesión, podrá realizar pedidos en nombre de su empresa
    y utilizar otras características de B2B."
"updated quote","Presupuesto actualizado"
"New company registration request","Nuevo pedido de registro de empresas"
"Assigned to %company_name as Sales Representative","Asignado como Representante de Ventas para %company_name"
"Your company account is active","La cuenta de su empresa fue activada"
"Your company account suspended","La cuenta de su empresa fue suspendida"
"Your company account blocked","La cuenta de su empresa fue bloqueada"
"Your company registration request rejected","La registración de su empresa fue rechazada"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Tu límite de crédito fue actualizado a %available_credit.
    Su saldo pendiente asciende actualmente a %outstanding_balance. Usted está %exceed_limit de exceder el límite de crédito."
"
                            Limit one PO number per reimburse transaction
                        ","
                            Limitar un número de PO por transacción de reembolso
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                Máximo 255 caracteres permitidos.
                        "
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","A su empresa se le ha asignado un crédito de %available_credit.
    Ahora puede utilizar el método de pago  A Cuenta para hacer pedidos."
"The selected credit currency is not valid.
                        Customers will not be able to place orders until you update the credit currency.","La moneda de crédito seleccionada no es válida.
                        Los clientes no podrán realizar pedidos hasta que actualice la moneda de crédito."
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Este equipo tiene usuarios secundarios o equipos alineados a él y no se puede eliminar. Por favor, vuelva a alinear los usuarios secundarios o equipos primero.",module,Magento_Company
"Default User","Default"
"How to get","Como llegar"
"The requested qty is not available","La cantidad requerida no esta disponible"
"There are no source items with the in stock status","Este producto no está en stock en ninguno de nuestros centros."
"Your quote number is: %1.","Su número de presupuesto es: %1.",module,Magento_NegotiableQuote
"The quote has been sent to the merchant.","El presupuesto se ha enviado a su representante.",module,Magento_NegotiableQuote
"VatId 123456789","123456789"
"Show Password","Mostrar contraseña",module,Magento_Customer
"Are you sure you want to remove all items from your shopping cart?","¿Está seguro que quiere eliminar todos los productos del carrito?"
"Adding...","Comprando...",module,Magento_Catalog
"Added","Comprado",module,Magento_Catalog
"Share","Compartir",module,Magento_Catalog
"Share:","Compartir:",module,Magento_Catalog
"The fewest you may purchase is %1.","El mínimo de comprar es %1."
"The maximum you may purchase is %1.","El máximo de compra es %1."
"The requested qty exceeds the maximum qty allowed in shopping cart","La cantidad a comprar es mayor el máximo permitido."
